Employee_ID,Age,Gender,Country,Continent,Remote_Work,Company_Size,Work_Experience,Role,Work_Mode,Salary_Range,Therapy_Access,Mental_Health_Condition,Employer_Support,Comfort_Discussing_MH,Work_Stress_Level,Job_Satisfaction
E0123,52,Other,Germany,Europe,Yes,Small (1-50),2,Developer,Night Shift,50K-100K,Yes,No,Yes,5,9,6
E0124,24,Female,Australia,Oceania,Hybrid,Large (500+),22,Data Scientist,Night Shift,>150K,Not Sure,Yes,No,4,8,6
E0125,50,Other,Brazil,South America,Hybrid,Medium (51-500),24,Analyst,Day Shift,<50K,Not Sure,No,Partial,2,3,6
E0126,57,Female,Japan,Asia,Hybrid,Medium (51-500),28,Developer,Flexible,<50K,No,No,Yes,2,4,5
E0127,43,Female,France,Europe,No,Medium (51-500),23,Analyst,Flexible,<50K,Yes,Yes,Yes,2,3,8
E0128,59,Female,Canada,North America,No,Large (500+),7,Designer,Night Shift,<50K,No,No,Yes,2,6,2
E0129,35,Male,Japan,Asia,Hybrid,Medium (51-500),8,Analyst,Day Shift,50K-100K,Not Sure,No,No,5,9,7
E0130,49,Other,Germany,Europe,No,Small (1-50),7,Analyst,Day Shift,100K-150K,No,Yes,Yes,1,8,4
E0131,56,Other,France,Europe,Hybrid,Small (1-50),21,Data Scientist,Night Shift,>150K,No,No,No,5,10,1
E0132,33,Female,USA,North America,No,Small (1-50),23,Engineer,Flexible,100K-150K,Yes,Yes,Yes,3,4,5
E0133,52,Male,UK,Europe,Yes,Medium (51-500),29,Designer,Day Shift,50K-100K,Not Sure,No,Yes,5,2,3
E0134,27,Male,India,Asia,Yes,Small (1-50),14,Analyst,Flexible,50K-100K,No,Yes,Partial,5,8,4
E0135,42,Other,Australia,Oceania,Hybrid,Medium (51-500),26,Analyst,Flexible,100K-150K,Yes,No,Yes,3,8,7
E0136,48,Male,Australia,Oceania,No,Small (1-50),19,Designer,Night Shift,100K-150K,No,No,No,5,6,5
E0137,22,Male,India,Asia,No,Large (500+),5,Designer,Night Shift,50K-100K,Yes,No,Yes,1,8,4
E0138,26,Female,UK,Europe,Yes,Large (500+),23,Developer,Flexible,50K-100K,Yes,No,No,4,9,1
E0139,48,Male,Canada,North America,Yes,Large (500+),25,Data Scientist,Day Shift,>150K,No,No,No,3,1,6
E0140,48,Female,UK,Europe,Hybrid,Large (500+),18,Designer,Day Shift,<50K,Not Sure,No,Yes,2,9,10
E0141,40,Other,France,Europe,Yes,Medium (51-500),20,Designer,Night Shift,<50K,Not Sure,No,Yes,1,2,6
E0142,50,Male,UK,Europe,Hybrid,Small (1-50),12,Manager,Flexible,>150K,Yes,No,Yes,4,1,7
E0143,31,Other,France,Europe,Yes,Large (500+),23,Engineer,Day Shift,100K-150K,Not Sure,No,No,1,8,1
E0144,48,Other,UK,Europe,Yes,Medium (51-500),17,Designer,Day Shift,50K-100K,Yes,No,Partial,1,8,4
E0145,45,Male,Canada,North America,No,Large (500+),13,Data Scientist,Night Shift,100K-150K,Not Sure,No,No,2,4,9
E0146,59,Male,Canada,North America,Yes,Large (500+),2,Engineer,Flexible,<50K,No,No,No,4,8,10
E0147,53,Other,Germany,Europe,Yes,Medium (51-500),25,Engineer,Day Shift,<50K,Not Sure,No,Yes,1,7,6
E0148,21,Male,India,Asia,Hybrid,Medium (51-500),13,Analyst,Night Shift,100K-150K,Yes,Yes,Yes,2,2,2
E0149,47,Female,Canada,North America,Yes,Small (1-50),26,Analyst,Day Shift,<50K,Yes,Yes,Yes,3,5,4
E0150,33,Female,France,Europe,Hybrid,Small (1-50),7,Analyst,Day Shift,50K-100K,Not Sure,Yes,Yes,2,10,6
E0151,23,Male,Canada,North America,Yes,Large (500+),28,Analyst,Day Shift,>150K,No,No,Yes,5,4,4
E0152,59,Other,Germany,Europe,Yes,Large (500+),10,Manager,Night Shift,100K-150K,Yes,No,No,2,3,10
E0153,26,Male,Australia,Oceania,Hybrid,Small (1-50),23,Designer,Flexible,50K-100K,Yes,No,No,2,1,7
E0154,28,Male,France,Europe,No,Small (1-50),6,Analyst,Night Shift,50K-100K,Yes,No,Partial,2,5,3
E0155,47,Other,Germany,Europe,Hybrid,Medium (51-500),3,Developer,Flexible,<50K,Yes,No,Yes,1,10,6
E0156,29,Other,Brazil,South America,Hybrid,Small (1-50),26,Analyst,Day Shift,50K-100K,Yes,No,No,4,8,4
E0157,57,Female,Brazil,South America,Hybrid,Small (1-50),3,Designer,Flexible,100K-150K,No,Yes,Partial,2,9,3
E0158,53,Other,USA,North America,No,Large (500+),18,Analyst,Day Shift,50K-100K,Not Sure,Yes,No,2,7,3
E0159,44,Female,UK,Europe,Yes,Small (1-50),11,Manager,Day Shift,>150K,No,No,Yes,5,1,2
E0160,35,Other,India,Asia,Hybrid,Large (500+),22,Data Scientist,Night Shift,50K-100K,No,No,Yes,5,1,3
E0161,52,Male,South Africa,Africa,Hybrid,Small (1-50),20,Data Scientist,Day Shift,50K-100K,Yes,No,Yes,3,1,10
E0162,52,Female,Japan,Asia,No,Medium (51-500),5,Designer,Night Shift,>150K,No,Yes,Yes,3,2,1
E0163,44,Female,Germany,Europe,Hybrid,Small (1-50),19,Data Scientist,Flexible,50K-100K,Yes,No,Partial,5,1,3
E0164,32,Female,Australia,Oceania,Yes,Small (1-50),22,Data Scientist,Flexible,50K-100K,No,Yes,Yes,4,4,9
E0165,59,Male,Japan,Asia,No,Small (1-50),27,Developer,Day Shift,<50K,Yes,Yes,Yes,3,10,4
E0166,22,Male,Australia,Oceania,Yes,Large (500+),28,Designer,Night Shift,100K-150K,Yes,Yes,Partial,4,9,3
E0167,23,Male,Japan,Asia,Yes,Medium (51-500),19,Designer,Day Shift,<50K,No,Yes,Partial,5,4,8
E0168,57,Male,Germany,Europe,No,Small (1-50),30,Data Scientist,Night Shift,100K-150K,No,Yes,No,3,4,1
E0169,37,Male,South Africa,Africa,Hybrid,Large (500+),15,Data Scientist,Night Shift,>150K,Not Sure,Yes,No,2,7,5
E0170,22,Female,Japan,Asia,Yes,Medium (51-500),30,Data Scientist,Night Shift,>150K,Not Sure,No,Yes,5,9,1
E0171,22,Male,Germany,Europe,Yes,Large (500+),16,Engineer,Flexible,>150K,Not Sure,Yes,Yes,3,7,7
E0172,48,Female,Canada,North America,Yes,Large (500+),24,Manager,Night Shift,100K-150K,No,Yes,Yes,4,1,5
E0173,43,Male,South Africa,Africa,Yes,Medium (51-500),9,Analyst,Flexible,100K-150K,No,Yes,No,4,1,2
E0174,57,Other,France,Europe,No,Small (1-50),4,Manager,Night Shift,100K-150K,Yes,No,Partial,3,4,1
E0175,52,Female,Australia,Oceania,No,Large (500+),15,Designer,Flexible,>150K,Not Sure,Yes,Yes,4,4,7
E0176,53,Other,Brazil,South America,Yes,Large (500+),25,Developer,Flexible,100K-150K,Yes,No,No,3,1,1
E0177,21,Female,UK,Europe,Hybrid,Small (1-50),12,Analyst,Flexible,50K-100K,Yes,No,Yes,3,6,3
E0178,39,Other,Brazil,South America,Yes,Small (1-50),23,Developer,Day Shift,<50K,Yes,Yes,No,4,10,6
E0179,22,Male,South Africa,Africa,Hybrid,Medium (51-500),3,Engineer,Night Shift,>150K,Yes,No,Yes,1,2,6
E0180,46,Male,France,Europe,Yes,Medium (51-500),23,Designer,Day Shift,<50K,Not Sure,Yes,Yes,2,5,7
E0181,52,Male,Australia,Oceania,Hybrid,Medium (51-500),14,Engineer,Night Shift,50K-100K,Yes,No,Partial,5,8,1
E0182,26,Female,France,Europe,Yes,Small (1-50),17,Designer,Night Shift,100K-150K,No,No,No,2,3,7
E0183,52,Other,Japan,Asia,Hybrid,Large (500+),19,Developer,Day Shift,<50K,No,Yes,No,5,9,2
E0184,24,Male,Australia,Oceania,Yes,Large (500+),6,Developer,Flexible,50K-100K,No,Yes,Yes,5,7,6
E0185,31,Other,Japan,Asia,Yes,Medium (51-500),4,Developer,Night Shift,50K-100K,Not Sure,No,Yes,2,9,8
E0186,37,Other,Germany,Europe,Hybrid,Small (1-50),7,Designer,Flexible,<50K,Yes,No,Yes,3,1,5
E0187,58,Male,South Africa,Africa,No,Large (500+),30,Data Scientist,Day Shift,>150K,Not Sure,Yes,Partial,4,5,10
E0188,44,Male,Germany,Europe,Hybrid,Medium (51-500),19,Developer,Flexible,<50K,Yes,No,Partial,1,3,3
E0189,25,Other,USA,North America,No,Large (500+),17,Engineer,Night Shift,>150K,Not Sure,No,No,1,4,8
E0190,54,Male,France,Europe,Yes,Large (500+),25,Analyst,Night Shift,100K-150K,Not Sure,No,Yes,1,4,8
E0191,26,Male,Japan,Asia,Hybrid,Small (1-50),16,Designer,Night Shift,>150K,Yes,Yes,Partial,2,7,4
E0192,42,Male,Canada,North America,Hybrid,Small (1-50),15,Engineer,Day Shift,100K-150K,Not Sure,No,No,2,10,8
E0193,31,Female,Germany,Europe,Hybrid,Large (500+),22,Manager,Night Shift,<50K,Yes,No,No,3,8,5
E0194,36,Other,USA,North America,No,Medium (51-500),8,Manager,Day Shift,100K-150K,No,Yes,Yes,1,10,5
E0195,53,Other,India,Asia,No,Small (1-50),19,Analyst,Flexible,50K-100K,No,No,Partial,3,5,3
E0196,29,Female,Brazil,South America,Yes,Large (500+),8,Data Scientist,Night Shift,100K-150K,No,No,No,1,10,7
E0197,26,Other,Australia,Oceania,No,Small (1-50),18,Developer,Night Shift,>150K,Not Sure,No,Partial,2,7,9
E0198,36,Male,USA,North America,No,Small (1-50),28,Designer,Night Shift,>150K,No,Yes,Partial,4,3,9
E0199,49,Other,South Africa,Africa,Yes,Small (1-50),16,Engineer,Flexible,>150K,Yes,No,Yes,4,3,1
E0200,23,Male,Germany,Europe,Hybrid,Large (500+),20,Developer,Night Shift,100K-150K,No,No,Partial,4,3,1
E0201,40,Female,South Africa,Africa,Hybrid,Medium (51-500),19,Engineer,Day Shift,>150K,No,No,Partial,4,4,10
E0202,56,Male,Brazil,South America,Yes,Medium (51-500),10,Designer,Flexible,>150K,Not Sure,Yes,Yes,5,6,5
E0203,39,Other,Canada,North America,Hybrid,Medium (51-500),17,Manager,Flexible,50K-100K,Yes,No,Yes,1,5,1
E0204,46,Other,France,Europe,No,Small (1-50),13,Developer,Flexible,100K-150K,Not Sure,No,Yes,4,8,4
E0205,23,Other,France,Europe,Yes,Large (500+),13,Analyst,Flexible,50K-100K,Not Sure,Yes,No,5,5,1
E0206,39,Female,South Africa,Africa,Yes,Small (1-50),7,Data Scientist,Flexible,>150K,Yes,No,Yes,5,5,2
E0207,40,Female,Japan,Asia,Yes,Medium (51-500),27,Analyst,Day Shift,>150K,Not Sure,No,No,5,10,2
E0208,52,Other,Canada,North America,Hybrid,Medium (51-500),10,Data Scientist,Flexible,>150K,Yes,Yes,Yes,3,2,4
E0209,27,Male,France,Europe,Yes,Large (500+),2,Engineer,Night Shift,100K-150K,No,No,Partial,3,5,8
E0210,53,Female,Canada,North America,Yes,Small (1-50),4,Developer,Flexible,<50K,Yes,No,Yes,5,7,2
E0211,59,Other,USA,North America,Yes,Medium (51-500),25,Developer,Flexible,>150K,Yes,Yes,Yes,4,2,9
E0212,38,Other,Canada,North America,Hybrid,Large (500+),6,Data Scientist,Flexible,>150K,Yes,Yes,No,1,6,9
E0213,21,Female,UK,Europe,No,Small (1-50),24,Manager,Flexible,>150K,Not Sure,Yes,No,2,7,2
E0214,31,Female,Brazil,South America,Yes,Small (1-50),18,Designer,Flexible,>150K,Yes,Yes,Yes,3,5,1
E0215,48,Female,France,Europe,No,Medium (51-500),23,Analyst,Day Shift,100K-150K,Yes,No,Yes,4,9,10
E0216,45,Male,Canada,North America,Hybrid,Medium (51-500),6,Engineer,Day Shift,<50K,Yes,Yes,Yes,4,4,10
E0217,43,Male,South Africa,Africa,Hybrid,Small (1-50),29,Analyst,Flexible,<50K,No,No,Partial,2,10,9
E0218,51,Other,India,Asia,Hybrid,Small (1-50),30,Analyst,Day Shift,<50K,Yes,No,Partial,2,1,2
E0219,50,Female,UK,Europe,Hybrid,Medium (51-500),25,Engineer,Night Shift,>150K,Not Sure,Yes,No,4,8,8
E0220,55,Male,UK,Europe,No,Small (1-50),23,Engineer,Flexible,>150K,Yes,No,Partial,2,8,3
E0221,27,Female,Japan,Asia,Yes,Medium (51-500),17,Developer,Night Shift,<50K,Yes,No,Partial,4,7,1
E0222,36,Other,Canada,North America,Hybrid,Small (1-50),14,Analyst,Night Shift,<50K,No,No,Yes,2,8,1
E0223,46,Male,Japan,Asia,Hybrid,Medium (51-500),24,Designer,Flexible,>150K,Yes,Yes,Partial,2,2,10
E0224,22,Male,Japan,Asia,No,Large (500+),11,Designer,Night Shift,>150K,Not Sure,Yes,Partial,4,3,2
